slug,terme_fr,terme_en,axe,niveau,theme,statut,couverture
couche-neurones,Couche de neurones,Neural network layer,fondamentaux,avance,architecture-modeles,a_rediger,cnil
courbes-apprentissage,Convergence de l'entraînement,Training convergence,fondamentaux,avance,entrainement-apprentissage,a_rediger,
course-ia,Course mondiale à l'IA,Global AI race,economie,fondamental,ecosysteme-outils,a_rediger,
cpf,CPF / OPCO,CPF (French personal training account),reglementaire,fondamental,cadre-juridique,publie,
csrd,CSRD et reporting de durabilité,CSRD sustainability reporting,reglementaire,intermediaire,impact-environnemental,a_rediger,
cursor,Cursor et les IDE IA,Cursor and AI IDEs,economie,intermediaire,ecosysteme-outils,a_rediger,
data-act,Data Act européen,European Data Act,souverainete,avance,cadre-juridique,a_rediger,
data-center,Data center,Data center,responsabilite,intermediaire,impact-environnemental,publie,franceterme
data-privacy-framework,Data Privacy Framework (DPF),EU-US Data Privacy Framework,souverainete,avance,cadre-juridique,a_rediger,
date-coupure,Date de coupure des connaissances,Knowledge cutoff,fondamentaux,fondamental,entrainement-apprentissage,a_rediger,
dax,DAX,DAX (Data Analysis Expressions),economie,intermediaire,ecosysteme-outils,publie,
dechets-electroniques,Déchets électroniques,E-waste,responsabilite,fondamental,impact-environnemental,a_rediger,
decision-automatisee,Décision entièrement automatisée,Automated decision-making (GDPR art. 22),reglementaire,intermediaire,cadre-juridique,a_rediger,
decodage-speculatif,Décodage spéculatif,Speculative decoding,fondamentaux,avance,architecture-modeles,a_rediger,oqlf
deepfake,Hypertrucage (deepfake),Deepfake,responsabilite,fondamental,architecture-modeles,a_rediger,oqlf
deepseek,DeepSeek,DeepSeek,souverainete,intermediaire,ecosysteme-outils,a_rediger,
dependance-cognitive,Dépendance cognitive à l'IA,Cognitive offloading,responsabilite,intermediaire,prompting-usage,a_rediger,
deploiement-ia,Déploiement IA,AI deployment,souverainete,fondamental,ecosysteme-outils,publie,
derive-donnees,Dérive des données,Data drift,fondamentaux,avance,evaluation-qualite,a_rediger,cnil
derive-modele,Dérive du modèle,Model drift,fondamentaux,intermediaire,evaluation-qualite,a_rediger,cnil
desapprentissage,Désapprentissage machine,Machine unlearning,reglementaire,avance,entrainement-apprentissage,a_rediger,cnil
descente-gradient,Descente de gradient,Gradient descent,fondamentaux,avance,entrainement-apprentissage,a_rediger,google_ml
desinformation-ia,Désinformation générée par IA,AI-generated disinformation,responsabilite,fondamental,evaluation-qualite,a_rediger,
deskilling,Déqualification (deskilling),Deskilling,responsabilite,intermediaire,prompting-usage,a_rediger,
detection-anomalies,Détection d'anomalies,Anomaly detection,fondamentaux,intermediaire,architecture-modeles,a_rediger,google_ml
detection-contenu-ia,Détection de contenu généré par IA,AI content detection,responsabilite,intermediaire,prompting-usage,a_rediger,
distillation,Distillation,Distillation,responsabilite,avance,entrainement-apprentissage,publie,google_ml
donnees-dormantes,Données dormantes (dark data),Dark data,economie,intermediaire,donnees,a_rediger,
donnees-entrainement,Données d'entraînement,Training data,fondamentaux,fondamental,donnees,a_rediger,oqlf
donnees-fair,Données FAIR,FAIR data,souverainete,avance,donnees,a_rediger,franceterme
donnees-ouvertes,Données ouvertes (open data),Open data,souverainete,fondamental,donnees,a_rediger,franceterme
donnees-personnelles,Données personnelles,Personal data,reglementaire,fondamental,donnees,a_rediger,
donnees-sensibles,Données sensibles,Sensitive data,reglementaire,intermediaire,donnees,a_rediger,
donnees-structurees,Données structurées et non structurées,Structured and unstructured data,fondamentaux,fondamental,donnees,a_rediger,
donnees-synthetiques,Données synthétiques,Synthetic data,fondamentaux,intermediaire,donnees,a_rediger,oqlf
dpo-delegue,Délégué à la protection des données (DPO),Data Protection Officer (DPO),reglementaire,fondamental,cadre-juridique,a_rediger,franceterme
dpo-optimisation,Optimisation directe des préférences (DPO),Direct Preference Optimization (DPO),fondamentaux,avance,entrainement-apprentissage,a_rediger,
droits-auteur-ia,Droits d'auteur & IA,AI & copyright,reglementaire,intermediaire,cadre-juridique,publie,
droits-personnes,Droits des personnes (RGPD),Data subject rights,reglementaire,intermediaire,cadre-juridique,a_rediger,
dropout,Abandon (dropout),Dropout,fondamentaux,avance,entrainement-apprentissage,a_rediger,oqlf wikipedia
dsa-dma,DSA et DMA,Digital Services Act and Digital Markets Act,reglementaire,intermediaire,cadre-juridique,a_rediger,
dsi,DSI,CIO / IT department,reglementaire,intermediaire,ecosysteme-outils,publie,
echantillonnage,Échantillon et biais d'échantillonnage,Sampling and sampling bias,responsabilite,intermediaire,donnees,a_rediger,
ecologits,Ecologits,EcoLogits,responsabilite,fondamental,impact-environnemental,publie,
ecosysteme-ia-francais,Écosystème IA français,French AI ecosystem,souverainete,fondamental,ecosysteme-outils,a_rediger,
edge-computing,Informatique en périphérie (edge computing),Edge computing,souverainete,intermediaire,architecture-modeles,a_rediger,franceterme
effet-rebond,Effet rebond,Rebound effect,responsabilite,intermediaire,impact-environnemental,a_rediger,
effondrement-modele,Effondrement de modèle,Model collapse,responsabilite,intermediaire,entrainement-apprentissage,a_rediger,
elagage,Élagage de modèle,Model pruning,responsabilite,avance,architecture-modeles,a_rediger,
embedding,Embedding,Embedding,fondamentaux,intermediaire,architecture-modeles,publie,google_genai
empoisonnement-donnees,Empoisonnement de données,Data poisoning,responsabilite,avance,securite,a_rediger,
empreinte-carbone,Empreinte carbone de l'IA,Carbon footprint,responsabilite,fondamental,impact-environnemental,publie,
empreinte-materielle,Empreinte matérielle (fabrication),Embodied footprint,responsabilite,intermediaire,impact-environnemental,a_rediger,
enchainement-requetes,Enchaînement de requêtes,Prompt chaining,fondamentaux,intermediaire,prompting-usage,a_rediger,google_ml oqlf
encodeur-decodeur,Encodeur-décodeur,Encoder-decoder,fondamentaux,avance,architecture-modeles,a_rediger,
entrainement,Entraînement (training),Training,responsabilite,intermediaire,entrainement-apprentissage,publie,cafeia cnil google_ml oqlf twilio
entrepot-donnees,Entrepôt de données,Data warehouse,fondamentaux,intermediaire,donnees,a_rediger,franceterme wikipedia
epoque,Époque (epoch),Epoch,fondamentaux,avance,entrainement-apprentissage,a_rediger,google_ml wikipedia
equite-algorithmique,Équité algorithmique,Algorithmic fairness,responsabilite,intermediaire,evaluation-qualite,a_rediger,
espace-latent,Espace latent,Latent space,fondamentaux,avance,architecture-modeles,a_rediger,google_ml
ethique-ia,Éthique de l'IA,AI ethics,responsabilite,fondamental,cadre-juridique,publie,
etiquetage-donnees,Étiquetage des données (annotation),Data labeling,fondamentaux,fondamental,donnees,a_rediger,oqlf
euro-stack,EuroStack,EuroStack,souverainete,avance,ecosysteme-outils,a_rediger,
eurohpc,Supercalculateurs européens (EuroHPC),European supercomputers (EuroHPC),souverainete,intermediaire,ecosysteme-outils,a_rediger,
evaluation-agents,Évaluation d'agents,Agent evaluation,fondamentaux,avance,evaluation-qualite,a_rediger,
evaluation-humaine,Évaluation humaine,Human evaluation,responsabilite,intermediaire,evaluation-qualite,a_rediger,google_ml
evaluation-llm,Évaluation des LLM,LLM evaluation,responsabilite,intermediaire,evaluation-qualite,publie,
evaluation-rag,Évaluation d'un RAG,RAG evaluation,fondamentaux,avance,rag-agents,a_rediger,
exception-tdm,Exception de fouille de textes et de données (TDM),Text and Data Mining exception,reglementaire,avance,cadre-juridique,a_rediger,
exfiltration,Exfiltration de données,Data exfiltration,responsabilite,intermediaire,securite,a_rediger,
explicabilite,Explicabilité,Explainability,responsabilite,intermediaire,evaluation-qualite,a_rediger,cnil oqlf
exploration-donnees,Exploration de données (data mining),Data mining,fondamentaux,fondamental,donnees,a_rediger,franceterme oqlf wikipedia
extraction-caracteristiques,Extraction de caractéristiques,Feature extraction,fondamentaux,avance,donnees,a_rediger,cnil google_ml wikipedia
extraction-modele,Extraction de modèle,Model extraction,responsabilite,avance,securite,a_rediger,
faux-positifs,Faux positifs et faux négatifs,False positives and negatives,fondamentaux,fondamental,evaluation-qualite,a_rediger,
federated-learning,Federated learning,Federated learning,souverainete,avance,entrainement-apprentissage,publie,google_ml wikipedia
fenetre-contextuelle,Fenêtre contextuelle,Context window,fondamentaux,fondamental,architecture-modeles,publie,google_genai google_ml
filigrane-ia,Filigrane numérique (watermarking),AI watermarking,reglementaire,intermediaire,cadre-juridique,a_rediger,
fine-tuning,Fine-tuning,Fine-tuning,fondamentaux,intermediaire,entrainement-apprentissage,publie,google_ml hoko twilio
flux-agentiques,Flux agentiques,Agentic workflows,economie,intermediaire,rag-agents,a_rediger,
fonction-activation,Fonction d'activation,Activation function,fondamentaux,avance,architecture-modeles,a_rediger,cnil google_ml oqlf wikipedia
fonction-perte,Fonction de perte,Loss function,fondamentaux,avance,entrainement-apprentissage,a_rediger,google_ml oqlf
fracture-numerique,Fracture numérique et IA,AI digital divide,responsabilite,fondamental,prompting-usage,a_rediger,
france-2030,Plan France 2030 et IA,France 2030 investment plan,souverainete,intermediaire,ecosysteme-outils,a_rediger,
fraude-ia,Fraude augmentée par IA,AI-enabled fraud,responsabilite,fondamental,securite,a_rediger,
freemium,Modèle gratuit-payant (freemium),Freemium,economie,fondamental,ecosysteme-outils,a_rediger,franceterme
fria,Analyse d'impact sur les droits fondamentaux (FRIA),Fundamental Rights Impact Assessment (FRIA),reglementaire,avance,cadre-juridique,a_rediger,
fuite-informations,Fuite d'informations,Data leakage,responsabilite,intermediaire,securite,a_rediger,
gaia-x,Gaia-X,Gaia-X,souverainete,intermediaire,ecosysteme-outils,a_rediger,
gan,Réseau antagoniste génératif (GAN),Generative Adversarial Network (GAN),fondamentaux,avance,architecture-modeles,a_rediger,google_ml oqlf wikipedia
gemini,Gemini,Gemini,fondamentaux,fondamental,ecosysteme-outils,publie,google_ml hoko
generalisation,Généralisation,Generalization,fondamentaux,intermediaire,entrainement-apprentissage,a_rediger,google_ml twilio wikipedia
generation-audio,Génération audio et musicale,AI audio and music generation,fondamentaux,intermediaire,architecture-modeles,a_rediger,
generation-code,Génération de code,AI code generation,fondamentaux,intermediaire,prompting-usage,a_rediger,
generation-images,Génération d'images par IA,AI image generation,fondamentaux,fondamental,architecture-modeles,a_rediger,franceterme
generation-video,Génération de vidéo par IA,AI video generation,fondamentaux,intermediaire,architecture-modeles,a_rediger,
github-copilot,GitHub Copilot,GitHub Copilot,economie,fondamental,ecosysteme-outils,a_rediger,
google-deepmind,Google DeepMind,Google DeepMind,economie,fondamental,ecosysteme-outils,a_rediger,
gouvernance-donnees,Gouvernance des données,Data governance,economie,intermediaire,donnees,a_rediger,
gouvernance-ia,Gouvernance IA,AI governance,economie,intermediaire,cadre-juridique,publie,
gpai,Modèle d'IA à usage général (GPAI),General-Purpose AI (GPAI),reglementaire,intermediaire,cadre-juridique,a_rediger,
gpqa,GPQA,GPQA,fondamentaux,avance,evaluation-qualite,a_rediger,
gpt,GPT · transformeur génératif préentraîné,GPT (Generative Pre-trained Transformer),fondamentaux,fondamental,architecture-modeles,a_rediger,google_ml hoko
gpu,GPU,GPU,fondamentaux,fondamental,architecture-modeles,publie,cafeia
gpu-cloud,Cloud GPU,GPU cloud,economie,intermediaire,ecosysteme-outils,a_rediger,
graph-rag,GraphRAG,GraphRAG,fondamentaux,avance,rag-agents,a_rediger,
graphe-connaissances,Graphe de connaissances,Knowledge graph,fondamentaux,avance,rag-agents,a_rediger,franceterme
grok,Grok (xAI),Grok (xAI),economie,fondamental,ecosysteme-outils,a_rediger,
guardrails,Guardrails,Guardrails,responsabilite,intermediaire,securite,publie,google_ml
hallucination,Hallucination,Hallucination,responsabilite,fondamental,evaluation-qualite,publie,cafeia google_ml hoko twilio wikipedia
hameconnage-ia,Hameçonnage augmenté par IA,AI-enhanced phishing,responsabilite,fondamental,securite,a_rediger,
hds,Hébergement de données de santé (HDS),French health data hosting certification (HDS),reglementaire,avance,cadre-juridique,a_rediger,
hebergement-delegue,Hébergement délégué,Managed hosting,souverainete,intermediaire,ecosysteme-outils,publie,
hiver-ia,Hivers de l'IA,AI winters,fondamentaux,intermediaire,architecture-modeles,a_rediger,
hugging-face,Hugging Face,Hugging Face,souverainete,fondamental,ecosysteme-outils,publie,
humain-dans-la-boucle,Humain dans la boucle,Human in the loop,responsabilite,fondamental,prompting-usage,a_rediger,google_ml hoko
humaneval,HumanEval,HumanEval,fondamentaux,avance,evaluation-qualite,a_rediger,
hyperautomatisation,Hyperautomatisation,Hyperautomation,economie,intermediaire,prompting-usage,a_rediger,oqlf
hyperparametre,Hyperparamètre,Hyperparameter,fondamentaux,avance,entrainement-apprentissage,a_rediger,cnil google_ml wikipedia
ia-accessibilite,IA et accessibilité,AI and accessibility,responsabilite,intermediaire,prompting-usage,a_rediger,
ia-climat,IA au service du climat,AI for climate,responsabilite,intermediaire,impact-environnemental,a_rediger,
ia-compagnon,IA compagnon,AI companion,responsabilite,fondamental,prompting-usage,a_rediger,
ia-constitutionnelle,IA constitutionnelle,Constitutional AI,responsabilite,avance,entrainement-apprentissage,a_rediger,
ia-education,IA en éducation,AI in education,responsabilite,fondamental,prompting-usage,a_rediger,
ia-embarquee,IA embarquée,Embedded AI,souverainete,intermediaire,architecture-modeles,a_rediger,
ia-emploi,IA et emploi,AI and employment,responsabilite,fondamental,prompting-usage,a_rediger,
ia-faible-forte,IA faible et IA forte,Narrow AI and strong AI,fondamentaux,fondamental,architecture-modeles,a_rediger,
ia-fantome,IA fantôme (shadow AI),Shadow AI,economie,intermediaire,securite,a_rediger,
ia-finance,IA en finance,AI in finance,economie,intermediaire,prompting-usage,a_rediger,
ia-frugale,IA frugale,Frugal AI,responsabilite,intermediaire,impact-environnemental,a_rediger,
ia-generative,IA générative,Generative AI,fondamentaux,fondamental,architecture-modeles,publie,google_genai google_ml twilio
ia-industrie,IA industrielle,Industrial AI,economie,intermediaire,prompting-usage,a_rediger,
ia-juridique,IA juridique (legaltech),Legal AI,economie,intermediaire,prompting-usage,a_rediger,
ia-langue-francaise,IA et langue française,AI and the French language,souverainete,fondamental,architecture-modeles,a_rediger,
ia-marketing,IA en marketing,AI in marketing,economie,fondamental,prompting-usage,a_rediger,
ia-non-generative,IA non générative,Non-generative AI,fondamentaux,intermediaire,architecture-modeles,publie,
ia-rh,IA et ressources humaines,AI in HR,economie,fondamental,prompting-usage,a_rediger,
ia-sante,IA en santé,AI in healthcare,economie,intermediaire,prompting-usage,a_rediger,
ia-service-client,IA en service client,AI in customer service,economie,fondamental,prompting-usage,a_rediger,
ia-souveraine,IA souveraine,Sovereign AI,souverainete,fondamental,ecosysteme-outils,publie,
ia-washing,Écoblanchiment de l'IA (AI washing),AI washing,economie,intermediaire,ecosysteme-outils,a_rediger,
iam,Gestion des identités et des accès (IAM),Identity and Access Management (IAM),economie,intermediaire,securite,a_rediger,
identification-biometrique,Identification biométrique,Biometric identification,reglementaire,intermediaire,cadre-juridique,a_rediger,oqlf
idp,Traitement intelligent de documents (IDP),Intelligent Document Processing (IDP),economie,intermediaire,rag-agents,a_rediger,
inference,Inférence,Inference,fondamentaux,intermediaire,architecture-modeles,publie,cafeia google_ml hoko oqlf
inference-appartenance,Attaque par inférence d'appartenance,Membership inference attack,responsabilite,avance,securite,a_rediger,
inference-locale,Inférence locale (on-device),Local inference,souverainete,intermediaire,architecture-modeles,a_rediger,
informatique-affective,Informatique affective,Affective computing,responsabilite,avance,architecture-modeles,a_rediger,franceterme wikipedia
informatique-quantique,Informatique quantique et IA,Quantum computing and AI,fondamentaux,avance,architecture-modeles,a_rediger,
ingenierie-contexte,Ingénierie de contexte,Context engineering,fondamentaux,intermediaire,rag-agents,a_rediger,
injection-indirecte,Injection de prompt indirecte,Indirect prompt injection,responsabilite,avance,securite,a_rediger,
instruction-tuning,Ajustement par instructions,Instruction tuning,fondamentaux,avance,entrainement-apprentissage,a_rediger,google_ml
intelligence-artificielle,Intelligence artificielle,Artificial intelligence,fondamentaux,fondamental,architecture-modeles,a_rediger,cafeia cnil franceterme google_ml hoko oqlf twilio wikipedia
intensite-carbone,Intensité carbone de l'électricité,Carbon intensity,responsabilite,intermediaire,impact-environnemental,a_rediger,
interoperabilite,Interopérabilité,Interoperability,souverainete,intermediaire,donnees,a_rediger,
interpretabilite,Interprétabilité,Interpretability,responsabilite,avance,evaluation-qualite,a_rediger,google_ml oqlf
